Storage_Temperature_C,Initial_pH,Final_pH,Titratable_Acidity_g/100mL,Microbial_Count_CFU/mL,Shelf_Life_Days
30,6.17,5.81,0.13,257,4.2
10,6.57,6.25,0.13,7522,7.5
20,6.39,6.05,0.13,1455,5.8
30,6.16,5.8,0.1,193,3.8
4,6.62,6.31,0.14,35550,9.9
10,6.65,6.33,0.15,9302,7.3
20,6.48,6.14,0.13,1924,5.7
4,6.67,6.36,0.16,118647,9.6
10,6.6,6.28,0.15,4303,7.8
30,6.08,5.72,0.13,105,4.1
10,6.64,6.32,0.13,22729,7.9
10,6.71,6.39,0.15,15767,8.4
20,6.43,6.09,0.13,485,7.2
20,6.31,5.97,0.15,1903,5.1
4,6.68,6.37,0.15,89008,9.1
30,6.14,5.78,0.14,54,3.9
10,6.59,6.27,0.13,17189,8.4
20,6.4,6.06,0.12,2055,5.7
20,6.38,6.04,0.15,4855,6.5
30,6.22,5.86,0.14,125,4.8
10,6.61,6.29,0.14,16797,7.7
10,6.54,6.22,0.14,3639,7.8
10,6.59,6.27,0.14,4219,8.1
20,6.37,6.03,0.13,701,7
20,6.31,5.97,0.14,950,6.2
10,6.58,6.26,0.14,12690,7
4,6.69,6.38,0.14,29754,9.5
4,6.7,6.39,0.14,44730,9.7
4,6.67,6.36,0.16,15116,8.8
20,6.49,6.15,0.13,1892,6.3
4,6.74,6.43,0.16,60485,10.4
10,6.57,6.25,0.15,1816,7.6
20,6.43,6.09,0.14,427,6.2
10,6.65,6.33,0.14,14141,8.1
30,6.19,5.83,0.14,139,3.9
10,6.63,6.31,0.14,11740,7.9
10,6.54,6.22,0.13,4697,8.1
10,6.54,6.22,0.13,9827,6.6
4,6.66,6.35,0.15,10815,10.2
10,6.59,6.27,0.15,8475,9.1
20,6.41,6.07,0.15,2247,6.6
30,6.21,5.85,0.12,140,3.8
30,6.22,5.86,0.13,167,3.9
4,6.74,6.43,0.14,71932,9.3
30,6.12,5.76,0.14,338,4.1
4,6.66,6.35,0.13,23701,9.6
10,6.52,6.2,0.15,20708,7.5
10,6.53,6.21,0.15,11944,7.3
20,6.42,6.08,0.12,1408,6
30,6.15,5.79,0.13,169,3.9
30,6.17,5.81,0.12,73,3.6
30,6.21,5.85,0.13,212,3.8
30,6.13,5.77,0.14,90,4
10,6.52,6.2,0.16,17727,7.8
10,6.6,6.28,0.14,7147,8
20,6.36,6.02,0.14,1819,6.8
30,6.16,5.8,0.11,79,3.4
10,6.61,6.29,0.13,35737,8.1
10,6.52,6.2,0.15,17076,7.6
4,6.7,6.39,0.14,84926,9
30,6.16,5.8,0.13,169,5.1
10,6.6,6.28,0.15,6606,9
30,6.16,5.8,0.11,242,4
10,6.69,6.37,0.15,21922,7.7
20,6.43,6.09,0.14,650,6.3
20,6.36,6.02,0.13,2424,5.9
4,6.61,6.3,0.16,108584,9.5
4,6.73,6.42,0.15,56025,9.7
4,6.61,6.3,0.14,51861,10.3
4,6.62,6.31,0.16,29386,9.7
20,6.39,6.05,0.13,9467,5.8
20,6.34,6,0.14,914,5.2
4,6.73,6.42,0.16,174969,9.5
10,6.59,6.27,0.16,13224,7.8
4,6.7,6.39,0.13,30546,9.5
10,6.57,6.25,0.13,10561,8.4
10,6.59,6.27,0.14,8629,8.5
20,6.45,6.11,0.13,445,6.2
30,6.16,5.8,0.13,56,3.2
4,6.78,6.47,0.15,22221,9.8
20,6.37,6.03,0.14,1973,6.7
4,6.7,6.39,0.14,27111,9.7
4,6.78,6.47,0.14,33849,9.1
30,6.16,5.8,0.11,70,3.5
20,6.39,6.05,0.13,318,5.6
20,6.31,5.97,0.14,1566,6.9
20,6.39,6.05,0.15,723,6.4
20,6.45,6.11,0.14,2343,5.1
20,6.36,6.02,0.14,1143,6.1
20,6.41,6.07,0.13,331,6.8
10,6.61,6.29,0.11,8308,7.3
20,6.42,6.08,0.14,2527,5.7
20,6.35,6.01,0.15,1437,4.7
4,6.74,6.43,0.16,95984,9.6
20,6.39,6.05,0.12,3876,5.6
20,6.41,6.07,0.12,962,5.9
10,6.58,6.26,0.13,6597,8.2
10,6.63,6.31,0.13,14006,7.1
10,6.57,6.25,0.13,14165,8.4
30,6.14,5.78,0.13,71,3.7
10,6.61,6.29,0.14,2066,6.9
30,6.18,5.82,0.12,116,3.9
